time,property,state
1,2.3051248,1
2,1.1384199,1
3,2.2768397,1
4,5.0528407,6
5,6.2145634,6
6,6.725354,7
7,6.489992,6
8,5.4833565,6
9,4.198285,5
10,2.3051248,1
11,2.5455842,2
12,5.3517847,6
13,8.699793,7
14,10.163227,8
15,10.966713,8
16,10.966713,8
17,11.503113,8
18,10.931203,8
19,10.483357,8
20,10.137692,8
21,10.587917,8
22,10.365251,8
23,10.483357,8
24,10.041354,8
25,9.6932955,7
26,9,7
27,8.311245,7
28,8.311245,7
29,7.771331,7
30,7.342588,7
31,7.771331,7
32,7.2805495,7
33,7.92,7
34,7.8625183,7
35,11.841756,8
36,12.72283,8
37,12.904882,8
38,12.594856,8
39,12.287555,8
40,10.587918,8
41,10.383987,8
42,10.464797,8
43,10.144082,8
44,10.30883,8
45,10.464797,8
46,9.983106,8
47,8.854829,7
48,8.225035,7
49,7.754637,7
50,6.830519,7
51,5.95906,6
52,2.5959969,2
53,1.8,1
54,1.08,1
55,2.5455842,2
56,4.1046314,5
57,3.8773184,4
58,3.319036,3
59,1.1384199,1
60,4.3349743,5
61,7.7879906,7
62,9.693296,7
63,10.315115,8
64,10.086427,8
65,8.891343,7
66,8.049845,7
67,7.5685663,7
68,7.42159,7
69,7.628263,7
70,8.225035,7
71,8.854829,7
72,8.373386,7
73,7.729527,7
74,7.754637,7
75,7.24486,7
76,4.802999,5
77,1.08,1
78,5.3999996,6
79,9.114471,7
80,9.346143,7
81,8.905908,7
82,7.771331,7
83,5.937272,6
84,3.9763298,4
85,1.8,1
86,4.8433046,5
87,7.9036193,7
88,8.225035,7
89,9.107359,7
90,10.163227,8
91,9.693296,7
92,10.028439,8
93,9.693296,7
94,9.565437,7
95,10.137692,8
96,10.041354,8
97,10.594036,8
98,11.252519,8
99,11.542478,8
100,12.24,8
101,13.339445,8
102,12.324414,8
103,12.015589,8
104,11.304229,8
105,11.525623,8
106,11.177405,8
107,13.1041975,8
108,14.003029,8
109,12.641076,8
110,13.1041975,8
111,11.966953,8
112,12.181625,8
113,12.181625,8
114,11.384199,8
115,10.24578,8
116,10.365251,8
117,9.793058,7
118,10.041354,8
119,10.041354,8
120,9.178235,7
121,9.726665,7
122,9.726665,7
123,10.1376915,8
124,10.464798,8
125,9.779817,7
126,9.114471,7
127,8.905908,7
128,9.346143,7
129,9.826088,7
130,8.707238,7
131,11.879999,8
132,12.261158,8
133,11.928989,8
134,11.928989,8
135,12.620554,8
136,10.446206,8
137,10.08,8
138,9.422101,7
139,8.825508,7
140,9.605998,7
141,9.47012,7
142,8.669949,7
143,8.287822,7
144,7.5599995,7
145,6.8399997,7
146,6.849467,7
147,7.208994,7
148,5.04,6
149,3.9763298,4
150,3.5455887,4
151,3.7064266,4
152,5.0142193,6
153,4.6800003,5
154,3.7585104,4
155,4.1046314,5
156,3.8773184,4
157,5.815978,6
158,6.6087217,6
159,5.692099,6
160,2.6208394,2
161,0.71999997,1
162,0.71999997,1
163,3.319036,3
164,4.32,5
165,4.0249224,5
166,3.9763298,4
167,4.32,5
168,4.73506,5
169,5.815978,6
170,6.151683,6
171,6.519877,6
172,8.12197,7
173,6.763786,7
174,6.725354,7
175,7.2359104,7
176,7.5599995,7
177,5.6920996,6
178,2.8116899,2
179,3.2399998,3
180,6.12,6
181,7.729527,7
182,8.699793,7
183,9.028754,7
184,9.028754,7
185,9.255571,7
186,9.47012,7
187,9.779817,7
188,10.105681,8
189,10.464798,8
190,10.1376915,8
191,9.826088,7
192,10.239453,8
193,9.885262,7
194,10.239453,8
195,9.885262,7
196,9.47012,7
197,10.308831,8
198,9.565437,7
199,10.137692,8
200,10.041354,8
201,10.483357,8
202,10.24578,8
203,9.360001,7
204,9.360001,7
205,9.504273,7
206,9.360001,7
207,8.891344,7
208,8.12197,7
209,7.0911775,7
210,5.1919937,6
211,3.096837,3
212,1.2979984,1
213,0.8049845,1
214,1.0182338,1
215,1.2979984,1
216,1.609969,1
217,1.484318,1
218,2.16,1
219,2.9024127,3
220,5.1544156,6
221,6.9899354,7
222,6.489992,6
223,6.9527545,7
224,7.968939,7
225,7.0911775,7
226,5.3517847,6
227,3.6,4
228,2.3051248,1
229,2.5455842,2
230,4.5820518,5
231,5.904439,6
232,6.696387,7
233,7.24486,7
234,8.089993,7
235,8.654986,7
236,9.255571,7
237,9.9571085,7
238,10.739833,8
239,11.525623,8
240,11.966954,8
241,11.620809,8
242,11.384199,8
243,10.931203,8
244,11.165805,8
245,10.587917,8
246,10.041354,8
247,9.605998,7
248,9.531505,7
249,9.826088,7
250,9.826088,7
251,9.605998,7
252,9.6932955,7
253,10.703569,8
254,11.298495,8
255,11.113451,8
256,9.028754,7
257,8.225035,7
258,7.968939,7
259,8.311245,7
260,9,7
261,8.766573,7
262,8.766573,7
263,9.227524,7
264,9.565437,7
265,9.83268,7
266,9.693296,7
267,9.693296,7
268,8.766573,7
269,8.825508,7
270,9.422101,7
271,10.105681,8
272,11.165805,8
273,11.183201,8
274,10.823973,8
275,11.609651,8
276,11.720751,8
277,10.829959,8
278,10.137692,8
279,9.793058,7
280,9.449572,7
281,10.538843,8
282,11.609651,8
283,11.304229,8
284,11.252519,8
285,10.8955765,8
286,11.252519,8
287,11.183201,8
288,11.879999,8
289,12.605142,8
290,11.570515,8
291,12.015589,8
292,12.144331,8
293,13.004921,8
294,13.039754,8
295,12.682018,8
296,12.261158,8
297,12.964998,8
298,12.245294,8
299,13.039754,8
300,13.202726,8
301,12.413476,8
302,12.303366,8
303,11.631956,8
304,12.43434,8
305,12.641076,8
306,13.1041975,8
307,12.57426,8
308,12.245293,8
309,11.592895,8
310,11.113451,8
311,10.636766,8
312,10.163227,8
313,9.693296,7
314,8.891344,7
315,7.289444,7
316,4.379589,5
317,2.1897945,1
318,1.08,1
319,2.8116899,2
320,5.00128,6
321,6.6185193,6
322,7.968939,7
323,8.049845,7
324,8.4042845,7
325,8.350138,7
326,8.350138,7
327,7.9932976,7
328,8.350138,7
329,8.4042845,7
330,8.759178,7
331,9.47012,7
332,9.826088,7
333,10.538843,8
334,10.853866,8
335,11.165805,8
336,11.165805,8
337,10.823973,8
338,11.165805,8
339,11.525623,8
340,12.245294,8
341,12.245294,8
342,12.324414,8
343,11.928989,8
344,11.659777,8
345,11.367109,8
346,10.739833,8
347,9.47012,7
348,8.64,7
349,7.208994,7
350,5.7599998,6
351,5.4477882,6
352,6.519877,6
353,6.87779,7
354,7.42159,7
355,6.489992,6
356,5.6920996,6
357,5.0911684,6
358,5.0911684,6
359,5.3999996,6
360,6.4799995,6
361,6.130579,6
362,4.802999,5
363,2.2768397,1
364,0.35999998,1
365,1.484318,1
366,1.8,1
367,2.8799999,3
368,2.9024127,3
369,2.6208394,2
370,3.4152596,4
371,7.289445,7
372,7.4128532,7
373,8.557102,7
374,9.028754,7
375,9.83268,7
376,9.826088,7
377,8.854829,7
378,9.360001,7
379,9.793058,7
380,10.390226,8
381,10.829959,8
382,11.090103,8
383,11.525623,8
384,11.013882,8
385,11.367109,8
386,11.013882,8
387,10.661107,8
388,12.144331,8
389,11.792404,8
390,10.829959,8
391,10.587917,8
392,9.83268,7
393,10.30883,8
394,10.144082,8
395,10.990322,8
396,11.4862,8
397,11.885453,8
398,11.019764,8
399,9.793059,7
400,8.209263,7
401,7.7043357,7
402,6.4096174,6
403,5.00128,6
404,4.2136917,5
405,4.452954,5
406,4.452954,5
407,2.7416782,2
408,1.0182338,1
409,2.16,1
410,5.506941,6
411,6.830519,7
412,7.5170207,7
413,7.771331,7
414,8.654986,7
415,9,7
416,9.346143,7
417,9.605998,7
418,9.531505,7
419,9.0645685,7
420,8.669949,7
421,8.311245,7
422,7.2359104,7
423,6.489992,6
424,6.4799995,6
425,6.12,6
426,6.4799995,6
427,7.5599995,7
428,8.287822,7
429,7.072878,7
430,5.4833565,6
431,3.671294,4
432,2.52,2
433,2.1897945,1
434,3.671294,4
435,3.396233,4
436,5.937272,6
437,6.87779,7
438,5.771239,6
439,4.6938252,5
440,3.2599385,3
441,2.5959969,2
442,2.8116899,2
443,2.8116899,2
444,3.671294,4
445,4.3498964,5
446,4.3349743,5
447,3.9763298,4
448,2.8799999,3
449,2.968636,3
450,2.5455842,2
451,1.484318,1
452,1.08,1
453,1.2979984,1
454,1.5273507,1
455,1.5273507,1
456,2.3051248,1
457,3.5455887,4
458,5.4477882,6
459,6.4799995,6
460,7.5599995,7
461,7.5685663,7
462,7.342588,7
463,6.151683,6
464,4.3498964,5
465,1.9386592,1
466,0.71999997,1
467,3.096837,3
468,3.6,4
469,5.1165614,6
470,5.904439,6
471,6.792466,7
472,7.8954163,7
473,7.8954163,7
474,7.42159,7
475,7.342588,7
476,7.072878,7
477,6.830519,7
478,7.342588,7
479,7.172949,7
480,6.638072,6
481,6.5693827,6
482,6.849467,7
483,7.2,7
484,5.8048253,6
485,6.489992,6
486,7.2,7
487,8.28,7
488,8.669949,7
489,9.028754,7
490,9.746631,7
491,9,7
492,9.3876505,7
493,9.779817,7
494,9.0645685,7
495,8.825508,7
496,7.2,7
497,8.759178,7
498,9.021574,7
499,9.726664,7
500,9.957108,7
501,10.009036,8
502,10.703569,8
503,12.475961,8
504,12.738099,8
505,12.10157,8
506,10.829959,8
507,10.1376915,8
508,9.9571085,7
509,11.620809,8
510,12.72283,8
511,12.979984,8
512,13.1041975,8
513,13.207634,8
514,12.522619,8
515,12.758432,8
516,12.783802,8
517,12.620554,8
518,12.245294,8
519,11.879999,8
520,11.165805,8
521,11.212135,8
522,11.212135,8
523,10.08,8
524,9.726665,7
525,9.36,7
526,9.72,7
527,9.726665,7
528,10.805999,8
529,10.799999,8
530,11.5199995,8
531,11.885453,8
532,11.212135,8
533,11.885453,8
534,11.542478,8
535,11.570515,8
536,10.799999,8
537,10.446206,8
538,11.252519,8
539,11.440978,8
540,13.202726,8
541,13.441071,8
542,13.910169,8
543,13.979871,8
544,11.659777,8
545,10.829959,8
546,9.605998,7
547,9.793058,7
548,10.163227,8
549,10.829958,8
550,11.384199,8
551,11.620809,8
552,11.620809,8
553,11.525623,8
554,10.739833,8
555,9.9571085,7
556,8.12197,7
557,7.2805495,7
558,7.928178,7
559,8.647496,7
560,8.707238,7
561,9.531505,7
562,10.538843,8
563,11.165805,8
564,11.159999,8
565,11.542478,8
566,10.823973,8
567,10.105681,8
568,9,7
569,9.255571,7
570,10.028439,8
571,10.028439,8
572,9.6932955,7
573,9.605998,7
574,9.826088,7
575,10.086427,8
576,9.36,7
577,9.3669195,7
578,9.3876505,7
579,9.746631,7
580,11.570515,8
581,11.159999,8
582,10.948973,8
583,10.594036,8
584,11.720751,8
585,13.627795,8
586,13.910169,8
587,14.154915,8
588,13.004921,8
589,13.324863,8
590,12.605142,8
591,12.682018,8
592,12.7279215,8
593,11.542478,8
594,11.879999,8
595,12.605142,8
596,12.599999,8
597,12.964998,8
598,12.959999,8
599,13.722565,8
600,13.75558,8
601,14.154915,8
602,14.561099,8
603,13.849476,8
604,12.371645,8
605,11.165805,8
606,10.805999,8
607,11.542478,8
608,12.599999,8
609,12.979984,8
610,13.004921,8
611,13.441071,8
612,12.849528,8
613,11.792404,8
614,10.739833,8
615,10.390226,8
616,9.693296,7
617,9.531505,7
618,9.0645685,7
619,8.759178,7
620,8.707238,7
621,9.028754,7
622,9.3876505,7
623,9.826088,7
624,9.779817,7
625,8.669949,7
626,8.647496,7
627,8.287822,7
628,9.826088,7
629,9.0645685,7
630,9.028754,7
631,9.422101,7
632,9.47012,7
633,9.885262,7
634,9.114471,7
635,9.422101,7
636,9.0645685,7
637,10.1376915,8
638,8.350138,7
639,8.311245,7
640,8.669949,7
641,8.647496,7
642,8.287822,7
643,7.9932976,7
644,7.9526596,7
645,8.669949,7
646,8.287822,7
647,7.69592,7
648,7.42159,7
649,6.725354,7
650,6.6185193,6
651,6.439876,6
652,5.95906,6
653,5.3517847,6
654,5.2416787,6
655,5.8603754,6
656,6.2145634,6
657,7.2359104,7
658,7.928178,7
659,9.028754,7
660,9.007196,7
661,9.422101,7
662,9.531505,7
663,9.346143,7
664,8.089993,7
665,7.289444,7
666,6.151683,6
667,5.1544156,6
668,3.6179552,4
669,2.2768397,1
670,3.319036,3
671,5.154415,6
672,6.638072,6
673,7.42159,7
674,7.771331,7
675,7.771331,7
676,8.766573,7
677,9.107359,7
678,9.605998,7
679,10.041354,8
680,10.041354,8
681,10.239453,8
682,10.308831,8
683,9.826088,7
684,10.086427,8
685,11.212135,8
686,10.390226,8
687,9.6932955,7
688,9.531505,7
689,8.699793,7
690,8.534353,7
691,8.373386,7
692,7.729527,7
693,7.24486,7
694,6.12,6
695,5.4833565,6
696,5.154415,6
697,5.0142193,6
698,5.4833565,6
699,5.0142193,6
700,5.506941,6
701,5.2416787,6
702,4.452954,5
703,4.1046314,5
704,3.219938,3
705,1.484318,1
706,1.8,1
707,4.68,5
708,7.2,7
709,8.287822,7
710,8.707238,7
711,8.759178,7
712,8.669949,7
713,7.92,7
714,7.5942073,7
715,7.69592,7
716,8.12197,7
717,8.473393,7
718,8.759178,7
719,8.759178,7
720,8.4042845,7
721,7.628263,7
722,7.0911775,7
723,6.830519,7
724,7.42159,7
725,7.9932976,7
726,9.0645685,7
727,9.3669195,7
728,9,7
729,8.669949,7
730,9.178235,7
731,10.182337,8
732,10.799999,8
733,11.570515,8
734,11.966953,8
735,11.901798,8
736,11.525623,8
737,11.159999,8
738,10.823973,8
739,10.823973,8
740,11.183201,8
741,11.5199995,8
742,11.879999,8
743,12.959999,8
744,13.32,8
745,13.32,8
746,13.698934,8
747,13.363711,8
748,13.684735,8
749,12.605142,8
750,13.339445,8
751,13.363711,8
752,13.797912,8
753,13.722565,8
754,13.684735,8
755,14.04,8
756,14.404499,8
757,14.404499,8
758,14.044615,8
759,13.679999,8
760,13.32,8
761,12.261158,8
762,10.495713,8
763,10.446206,8
764,10.853866,8
765,10.182337,8
